Order No.,OrderDate,Region,Manager,SalesMan,Item,Units,Unit_price,Sale_amt,
1,06-01-2018,East,Martha,Alexander,Television,95,"1,198.00","1,13,810.00",
2,23-01-2018,Central,Hermann,Shelli,Home Theater,50,400,"20,000.00",
3,09-02-2018,Central,Hermann,Luis,Television,36,"1,198.00","43,128.00",
4,26-02-2018,Central,Timothy,David,Cell Phone,27,225,"6,075.00",
5,15-03-2018,West,Timothy,Stephen,Television,56,"1,198.00","67,088.00",
6,01-04-2018,East,Martha,Alexander,Home Theater,60,500,"30,000.00",#NAME?
7,18-04-2018,Central,Martha,Steven,Television,75,"1,198.00","89,850.00",#DIV/0!
8,05-05-2018,Central,Hermann,Luis,Television,90,"1,198.00","1,07,820.00",
9,22-05-2018,West,Douglas,Michael,Television,32,"1,198.00","38,336.00",
10,08-06-2018,East,Martha,Alexander,Home Theater,60,500,"30,000.00",
,,,,,,,,,
Average of sale amount,"54,610.70",,,,,,,,
Average of units ,58.1,,,,,,Alexander,,Stephen
Average of saleamount of home theater,26666.66667,,,Television,,,Home Theater,,Cell Phone
Average sale amount of television,69244.4,,,,,,,,
Average sale amount of home theater,"26,666.67",,,,,,,,
